"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-24072008-081719";"";
"TraceParts.ClassPath";"DIN:/S_DIN/C21/C21.060/C21.060.010/10-24072008-081719";"";
"STANDARD";"DIN EN ISO 7046-2";"";
"TraceParts.InstanceId";"10-24072008-0817191YZFJ6QBJBIIGWIBG75T2W5NI";"";
"DESIGN";"Gewindeschneidschraube DIN EN ISO 7046-2 - M4 x 8 - H 1";"";
"TraceParts.PartStatus";"Published";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartVersion";"1.1.2";"";
