"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"69-14052009-069347";"";
"TraceParts.ClassPath";"BOSCH:/F_BOSCH/BOSCH.1/BOSCH.1.10/BOSCH.1.10.10/69-14052009-069347";"";
"TraceParts.InstanceId";"69-14052009-0693478XK7UMY738S7Y2R42UZJO6A0G";"";
"REFERENCE";"3842992888";"";
"DESIGN";"STREBENPROFIL 20X20 ";"";
"SUPPLIER";"Bosch Rexroth AG";"";
"SELECTION";"L=51.3MM";"";
"TraceParts.PartStatus";"Published";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartVersion";"1.0.5";"";
